Climate Change Crisis Real Impact I Acquisition Corporation,CLII
Danaos Corporation,DAC
Koss Corporation Common Stock,KOSS
GameStop Corp. Class A,GME
DraftKings Inc. Class A Common Stock,DKNG
Workhorse Group, Inc. Common Stock,WKHS
Global Ship Lease, Inc.,GSL
Social Capital Hedosophia Holdings Corp. IV,IPOD
Polar Power, Inc. Common Stock,POLA
Property Solutions Acquisition Corp. Common Stock,PSAC
Foley Trasimene Acquisition Corp. II,BFT
AMC ENTERTAINMENT HOLDINGS, INC.,AMC
Gevo, Inc. Common Stock,GEVO
Social Capital Hedosophia Holdings Corp. VI,IPOF
Sarepta Therapeutics, Inc. Common Stock (DE),SRPT
Apex Technology Acquisition Corporation Class A Common Stock,APXT
Express, Inc.,EXPR
Rocket Companies, Inc.,RKT
Li Auto Inc. American Depositary Shares,LI
Sunworks, Inc. Common Stock,SUNW
Novavax, Inc. Common Stock,NVAX
LendingClub Corporation,LC
ReneSola Ltd American Depositary (Each representing ten shares),SOL
NIO Inc. American depositary shares, each representing one Class A ordinary share,NIO
Nano Dimension Ltd. American Depositary Shares,NNDM
Switchback Energy Acquisition Corporation,SBE
Lordstown Motors Corp. Class A Common Stock,RIDE
XPeng Inc. American depositary shares, each representing two Class A ordinary shares,XPEV
